y/ymax, u/u_max
0.00000, 0.00000
0.01613, 0.59211
0.04839, 0.74119
0.08065, 0.82172
0.11290, 0.88013
0.14516, 0.92308
0.17742, 0.95277
0.20968, 0.97153
0.24194, 0.98270
0.27419, 0.98935
0.30645, 0.99343
0.33871, 0.99603
0.37097, 0.99772
0.40323, 0.99882
0.43548, 0.99951
0.46774, 0.99988
0.50000, 1.00000
0.53226, 0.99988
0.56452, 0.99951
0.59677, 0.99882
0.62903, 0.99772
0.66129, 0.99603
0.69355, 0.99343
0.72581, 0.98935
0.75806, 0.98270
0.79032, 0.97153
0.82258, 0.95277
0.85484, 0.92308
0.88710, 0.88013
0.91935, 0.82172
0.95161, 0.74119
0.98387, 0.59211
1.00000, 0.00000
